event_id,Words,POS,Index,Tag,Labels,Tag2
0,A,DT,0,O,0.0,O
0,shooting,NN,2,O,0.0,O
0,takes,VBZ,11,O,0.0,O
0,place,NN,17,O,0.0,O
0,at,IN,23,O,0.0,O
0, a ,DT,26,O,0.0,O
0,pub,NN,28,arg,1.0,O
0, in ,IN,31,O,0.0,relation
0,Tel,NNP,35,arg,1.0,O
0,Aviv,NNP,39,arg,1.0,O
0,Israel,NNP,44,arg,1.0,O
0,leaving,VBG,51,O,0.0,O
0,two,CD,59,O,0.0,O
0,dead,JJ,63,O,0.0,O
0, and ,CC,67,O,0.0,O
0,eight,CD,72,O,0.0,O
0,injured,VBN,78,O,0.0,O
DT,.,.,B-NP,O,0.0,O
0,gunman,NN,91,O,0.0,O
0,managed,VBD,98,O,0.0,O
0,to,TO,106,O,0.0,O
0,escape,VB,109,O,0.0,O
0,possibly,RB,120,O,0.0,O
0,killed,VBN,129,O,0.0,O
0,his,PRP$,136,O,0.0,O
0,accomplice,NN,140,O,0.0,O
0,an,DT,68,O,0.0,O
0,Arab,NNP,154,O,0.0,O
0,taxi,NN,159,O,0.0,O
0,driver,NN,164,O,0.0,O
0,whose,WP$,171,O,0.0,O
0,body,NN,177,O,0.0,O
0,was,VBD,182,O,0.0,O
0,found,VBD,186,O,0.0,O
0,nearby,JJ,192,O,0.0,O
0,police,NN,204,O,0.0,O
0,identified,VBN,211,O,0.0,O
0,shooter,NN,222,O,0.0,O
0, as ,IN,229,O,0.0,O
0,30,CD,233,O,0.0,O
0,year,NN,236,O,0.0,O
0,old,JJ,241,O,0.0,O
0,muslim,NN,245,O,0.0,O
0,Nisaat,NNP,252,O,0.0,O
0,Melkham,NNP,259,O,0.0,O
0,from,IN,267,O,0.0,O
0,Arara,NNP,272,O,0.0,O
0,searched,VBD,282,O,0.0,O
0,home,NN,295,O,0.0,O
1,A,DT,0,O,0.0,O
1,new,JJ,2,O,0.0,O
1,28foot,NN,6,O,0.0,O
1,tall,JJ,13,O,0.0,O
1,statue,NN,18,O,0.0,O
1,of,IN,25,O,0.0,O
1,Jesus,NNP,28,arg,1.0,O
1,dubbed,VBN,34,O,0.0,O
1,de,FW,47,arg,1.0,O
1,Greatest,JJS,50,arg,1.0,O
1,is,VBZ,59,O,0.0,O
1,unveiled,VBD,62,O,0.0,relation
1, on ,IN,70,O,0.0,relation
1,New,NNP,74,arg,1.0,O
1,Years,NNS,78,arg,1.0,O
1,Day,NNP,84,O,0.0,O
1,outside,IN,88,O,0.0,O
1,St.,NNP,96,O,0.0,O
1,Aloysius,NNP,100,O,0.0,O
1,Catholic,NNP,109,O,0.0,O
1,Church,NNP,118,O,0.0,O
1, in ,IN,124,O,0.0,O
1,Abajah,NNP,128,O,0.0,O
1,village,NN,135,O,0.0,O
1,Nigerias,NNP,143,O,0.0,O
1,Imo,NNP,152,O,0.0,O
1,state,NN,156,O,0.0,O
1,which,WDT,162,O,0.0,O
1,described,VBN,171,O,0.0,O
1, as ,IN,180,O,0.0,O
1,tallest,JJS,184,O,0.0,O
1,Africa,NNP,208,O,0.0,O
2,About,IN,0,O,0.0,O
2,one,CD,6,arg,1.0,O
2,thousand,CD,10,arg,1.0,O
2,houses,NNS,19,arg,1.0,O
2, in ,IN,25,O,0.0,relation
2,Manilas,NNP,29,arg,1.0,O
2,Tondo,NNP,37,arg,1.0,O
2,district,NN,43,arg,1.0,O
2,Philippines,NNP,55,O,0.0,O
2,are,VBP,67,O,0.0,O
2,set,VBN,71,O,0.0,O
2,ablaze,JJ,75,O,0.0,O
2,following,VBG,82,O,0.0,O
2,New,NNP,92,O,0.0,O
2,Years,NNS,96,O,0.0,O
2,Eve,NNP,102,O,0.0,O
2,firecracker,NN,106,O,0.0,O
2,festivities,NNS,118,O,0.0,O
2,that,IN,130,O,0.0,O
2,left,VBN,135,O,0.0,O
2,person,NN,140,O,0.0,O
